N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
145,대웅제약,"173,500","4,500",+2.66%,"2,500","20,103","11,587",7.60,"76,961",81.53,4.39,
146,영원무역,"45,050",50,-0.11%,500,"19,962","44,311",28.02,"153,948",8.66,8.03,
147,TIGER 200,"36,070",525,+1.48%,0,"19,857","55,050",5.25,"2,522,689",N/A,N/A,
148,TIGER 미국나스닥100,"75,090","2,295",+3.15%,0,"19,839","26,420",0.00,"210,843",N/A,N/A,
149,두산,"119,000",0,0.00%,"5,000","19,663","16,524",9.12,"101,332",-68.55,-34.34,
150,KODEX 200선물인버스2X,"2,575",85,-3.20%,0,"19,642","762,800",6.90,"136,645,394",N/A,N/A,
151,한전KPS,"42,750",350,+0.83%,200,"19,238","45,000",5.75,"694,961",19.49,9.12,
152,대웅,"32,150",200,+0.63%,500,"18,693","58,142",4.47,"41,123",23.73,11.13,
153,LG화학우,"241,000",0,0.00%,"5,000","18,530","7,689",71.82,"24,378",5.14,N/A,
154,현대백화점,"77,600","1,600",+2.11%,"5,000","18,160","23,402",18.24,"57,771",11.74,1.65,
155,아이에스동서,"58,000","1,200",+2.11%,500,"17,918","30,893",4.07,"128,000",33.22,10.92,
156,효성,"84,400","1,100",+1.32%,"5,000","17,784","21,071",7.46,"32,561",4.06,18.04,
157,솔루스첨단소재,"57,100",200,+0.35%,100,"17,467","30,590",6.14,"155,682",-224.80,-5.10,
158,농심,"287,000","6,000",+2.14%,"5,000","17,457","6,083",12.58,"21,033",16.36,7.50,
159,후성,"18,100","1,050",+6.16%,500,"16,762","92,607",6.60,"1,625,381",60.94,2.79,
160,LS,"51,400",200,+0.39%,"5,000","16,551","32,200",13.48,"72,049",6.46,3.94,
161,KODEX MSCI Korea TR,"11,485",135,+1.19%,0,"16,332","142,200",10.54,"650,510",N/A,N/A,
162,LIG넥스원,"74,100","1,000",+1.37%,"5,000","16,302","22,000",7.14,"238,042",17.27,8.86,
163,아시아나항공,"21,500","1,450",+7.23%,"5,000","15,999","74,412",7.11,"2,617,647",-3.70,-43.83,
164,현대위아,"58,800",300,+0.51%,"5,000","15,991","27,195",7.07,"268,601",43.82,1.96,
165,동국제강,"16,700",250,+1.52%,"5,000","15,937","95,433",22.57,"335,085",3.53,3.35,
166,동원시스템즈,"54,500",600,+1.11%,"5,000","15,908","29,188",13.03,"38,883",24.68,10.97,
167,JB금융지주,"8,070",0,0.00%,"5,000","15,897","196,983",41.92,"243,787",3.33,10.06,
168,코오롱인더,"57,500",600,+1.05%,"5,000","15,823","27,519",20.38,"106,910",8.92,9.70,
169,KODEX 단기채권,"103,330",5,0.00%,0,"15,692","15,186",0.00,"22,836",N/A,N/A,
170,오뚜기,"423,500","3,500",+0.83%,"5,000","15,551","3,672",11.55,"2,004",14.06,7.93,
171,한미반도체,"31,350",300,+0.97%,200,"15,506","49,460",5.68,"164,940",14.96,34.59,
172,DGB금융지주,"9,090",110,+1.22%,"5,000","15,375","169,146",49.91,"316,161",3.25,6.93,
173,KODEX 삼성그룹,"8,795",150,+1.74%,0,"15,075","171,400",0.14,"240,920",N/A,N/A,
174,현대엘리베이,"36,600",200,+0.55%,"5,000","14,938","40,815",30.17,"117,830",23.58,9.78,
175,롯데칠성,"157,000","2,000",+1.29%,500,"14,568","9,279",9.89,"20,372",18.56,-1.00,
176,TIGER 단기통안채,"100,710",15,+0.01%,0,"14,466","14,364",0.85,"2,636,695",N/A,N/A,
177,ESR켄달스퀘어리츠,"6,740",60,+0.90%,"1,000","14,362","213,089",53.37,"725,732",52.25,1.34,
178,티와이홀딩스,"27,900",250,+0.90%,500,"14,209","50,929",5.60,"51,090",2.40,N/A,
179,TIGER 미국S&P500,"13,315",260,+1.99%,0,"14,134","106,150",0.00,"745,202",N/A,N/A,
180,롯데렌탈,"38,400",600,-1.54%,"5,000","14,067","36,634",1.63,"154,869",13.31,6.73,
181,KODEX 종합채권(AA-이상)액티브,"106,135",10,-0.01%,0,"13,933","13,128",0.00,803,N/A,N/A,
